index;file;ts;esco;onto;value;type
59;f2066;2022-11-29T22:55:51;http://data.europa.eu/esco/occupation/d3edb8f8-3a06-47a0-8fb9-9b212c006aa2;http://ti-2022-11-2918:12:32.586072.org/onto#413a;0.96;INST
186;f2979;2022-11-30T00:58:47;http://data.europa.eu/esco/occupation/84871c2a-abd1-45eb-b03a-65e51a26fd84;http://ti-2022-11-2918:12:32.586072.org/onto#413a;0.87;INST
254;f875;2022-11-29T20:18:58;http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30;http://ti-2022-11-2918:12:32.586072.org/onto#413a;0.87;INST
218;f950;2022-11-29T20:28:45;http://data.europa.eu/esco/occupation/30ca97f4-a4fd-4189-a781-ac08f6b09b78;http://ti-2022-11-2918:12:32.586072.org/onto#413a;0.87;INST
167;f297;2022-11-29T19:11:46;http://data.europa.eu/esco/isco/C42;http://ti-2022-11-2918:12:32.586072.org/onto#42;1.0;INST
131;f303;2022-11-29T19:12:23;http://data.europa.eu/esco/isco/C422;http://ti-2022-11-2918:12:32.586072.org/onto#422;1.0;INST
96;f1233;2022-11-29T21:05:54;http://data.europa.eu/esco/occupation/5b9a678a-7c35-4c50-a804-754b82652ee6;http://ti-2022-11-2918:12:32.586072.org/onto#4221;0.98;INST
270;f1459;2022-11-29T21:35:40;http://data.europa.eu/esco/occupation/79f8f68c-5509-4119-9373-8bef1c364d31;http://ti-2022-11-2918:12:32.586072.org/onto#4221;0.98;INST
203;f304;2022-11-29T19:12:29;http://data.europa.eu/esco/isco/C4221;http://ti-2022-11-2918:12:32.586072.org/onto#4221;1.0;INST
111;f896;2022-11-29T20:21:44;http://data.europa.eu/esco/occupation/291da1ab-1f90-426d-bbc5-60d0fa7d608b;http://ti-2022-11-2918:12:32.586072.org/onto#4221;0.99;INST
246;f312;2022-11-29T19:13:17;http://data.europa.eu/esco/isco/C43;http://ti-2022-11-2918:12:32.586072.org/onto#43;1.0;INST
181;f313;2022-11-29T19:13:22;http://data.europa.eu/esco/isco/C431;http://ti-2022-11-2918:12:32.586072.org/onto#431;1.0;INST
129;f314;2022-11-29T19:13:27;http://data.europa.eu/esco/isco/C4311;http://ti-2022-11-2918:12:32.586072.org/onto#4311;1.0;INST
217;f315;2022-11-29T19:13:33;http://data.europa.eu/esco/isco/C4312;http://ti-2022-11-2918:12:32.586072.org/onto#4312;0.99;INST
123;f316;2022-11-29T19:13:38;http://data.europa.eu/esco/isco/C4313;http://ti-2022-11-2918:12:32.586072.org/onto#4313;1.0;INST
99;f496;2022-11-29T19:32:02;http://data.europa.eu/esco/isco/C754;http://ti-2022-11-2918:12:32.586072.org/onto#7;0.97;INST
4;f501;2022-11-29T19:32:32;http://data.europa.eu/esco/isco/C7549;http://ti-2022-11-2918:12:32.586072.org/onto#7;0.87;INST
271;f469;2022-11-29T19:29:19;http://data.europa.eu/esco/isco/C74;http://ti-2022-11-2918:12:32.586072.org/onto#74;0.99;INST
255;f470;2022-11-29T19:29:24;http://data.europa.eu/esco/isco/C741;http://ti-2022-11-2918:12:32.586072.org/onto#741;1.0;INST
30;f474;2022-11-29T19:29:48;http://data.europa.eu/esco/isco/C742;http://ti-2022-11-2918:12:32.586072.org/onto#741;0.85;INST
235;f473;2022-11-29T19:29:43;http://data.europa.eu/esco/isco/C7413;http://ti-2022-11-2918:12:32.586072.org/onto#7413;1.0;INST
0;f485;2022-11-29T19:30:55;http://data.europa.eu/esco/isco/C752;http://ti-2022-11-2918:12:32.586072.org/onto#742;0.99;INST
92;f475;2022-11-29T19:29:54;http://data.europa.eu/esco/isco/C7421;http://ti-2022-11-2918:12:32.586072.org/onto#7421;1.0;INST
11;f476;2022-11-29T19:29:59;http://data.europa.eu/esco/isco/C7422;http://ti-2022-11-2918:12:32.586072.org/onto#7422;1.0;INST
61;f1040;2022-11-29T20:40:43;http://data.europa.eu/esco/occupation/3e7bf729-4442-4b9f-ad5e-83111963795c;http://ti-2022-11-2918:12:32.586072.org/onto#742a;0.85;INST
193;f1876;2022-11-29T22:31:00;http://data.europa.eu/esco/occupation/b7aa4b4e-dbb6-4f58-b36c-35b9a7267972;http://ti-2022-11-2918:12:32.586072.org/onto#742a;0.85;INST
